Tabel 1. Standar Berat Badan menurut Umur (BB/U) Anak Laki-Laki Umur 0-60 Bulan,,,,,,,,,Tabel 2. standar tinggi badan (TB/U) Anak Laki laki umur 0-60 bulan,,,,,,,
Umur (bulan),Berat Badan (Kg),,,,,,,,Umur (bulan),Panjang Badan (cm),,,,,,
,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD,,,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
51,11.5,13.1,14.8,16.8,19.2,21.9,25.1,,51,92.1,96.4,100.7,105,109.3,113.6,117.9
52,11.6,13.2,15,17,19.4,22.2,25.4,,52,92.5,96.9,101.2,105.6,109.9,114.2,118.6
53,11.7,13.3,15.1,17.2,19.6,22.4,25.7,,53,93,97.4,101.7,106.1,110.5,114.9,119.2
54,11.8,13.4,15.2,17.3,19.8,22.7,26,,54,93.4,97.8,102.3,106.7,111.1,115.5,119.9
55,11.9,13.5,15.4,17.5,20,22.9,26.3,,55,93.9,98.3,102.8,107.2,111.7,116.1,120.6
56,12,13.6,15.5,17.7,20.2,23.2,26.6,,56,94.3,98.8,103.3,107.8,112.3,116.7,121.2
57,12.1,13.7,15.6,17.8,20.4,23.4,26.9,,57,94.7,99.3,103.8,108.3,112.8,117.4,121.9
58,12.2,13.8,15.8,18,20.6,23.7,27.2,,58,95.2,99.7,104.3,108.9,113.4,118,122.6
59,12.3,14,15.9,18.2,20.8,23.9,27.6,,59,95.6,100.2,104.8,109.4,114,118.6,123.2
60,12.4,14.1,16,18.3,21,24.2,27.9,,60,96.1,100.7,105.3,110,114.6,119.2,123.9
